loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.23023128509521484,0.8419080972671509,0.0001999317060143023,0.47058823529411764,5,,,,,,,,,
0.18589179515838622,0.9743931889533997,0.00019755119679804367,0.9411764705882353,10,,,,,,,,,
,,,1.0,11,0.12093695253133774,8.7791,4.101,2.05,,,,,
0.13975943326950074,0.8454012274742126,0.00019184869857459232,1.3764705882352941,15,,,,,,,,,
0.0881569504737854,0.4596532881259918,0.00018301840308155507,1.8470588235294119,20,,,,,,,,,
,,,2.0,22,0.08926140516996384,8.7907,4.095,2.048,,,,,
0.06980499625205994,0.2519685626029968,0.00017136101544117525,2.2823529411764705,25,,,,,,,,,
0.059498727321624756,0.2742903530597687,0.00015727351400805052,2.7529411764705882,30,,,,,,,,,
,,,3.0,33,0.09130949527025223,8.7584,4.11,2.055,,,,,
0.04916984438896179,0.35217225551605225,0.00014123563174739037,3.1882352941176473,35,,,,,,,,,
0.03779622316360474,0.2288670539855957,0.00012379351950426187,3.6588235294117646,40,,,,,,,,,
,,,4.0,44,0.09811662137508392,8.7951,4.093,2.047,,,,,
,,,4.0,44,,,,,564.1126,2.411,0.156,3705156783636480.0,0.10114774649793451
